model,pmode,power_budget,throughput_target,score_threshold,alpha,constraint_level,CL,throughput,power,score,violations
frcnn,MODE_20W_6CORE,20000,2,65,1,loose,1,4.63,12554.0,62.5,0
frcnn,MODE_20W_4CORE,20000,2,65,1,loose,1,4.61,9093.0,62.5,0
frcnn,MODE_20W_2CORE,20000,2,65,1,loose,1,4.68,11366.0,62.5,0
frcnn,MODE_15W_6CORE,20000,2,65,1,loose,1,4.47,11550.0,62.5,0
frcnn,MODE_15W_4CORE,20000,2,65,1,loose,1,4.47,11591.0,62.5,0
frcnn,MODE_15W_2CORE,20000,2,65,1,loose,1,4.53,11776.0,62.5,0
frcnn,MODE_10W_4CORE,20000,2,65,1,loose,1,3.76,8376.0,62.5,0
frcnn,MODE_10W_DESKTOP,20000,2,65,1,loose,1,2.94,8786.0,62.5,0
frcnn,MODE_10W_2CORE,20000,2,65,1,loose,1,3.79,8090.0,62.5,0
retinanet,MODE_20W_6CORE,10000,5,80,2,tight,1,1.73,15851.0,81.25,0
retinanet,MODE_20W_4CORE,10000,5,80,2,tight,1,1.72,15953.5,81.25,0
retinanet,MODE_20W_2CORE,10000,5,80,2,tight,1,1.75,15871.5,81.25,0
retinanet,MODE_15W_6CORE,10000,5,80,2,tight,1,1.55,14527.25,81.25,0
retinanet,MODE_15W_4CORE,10000,5,80,2,tight,1,1.56,14307.13,81.25,0
retinanet,MODE_15W_2CORE,10000,5,80,2,tight,1,1.58,14379.0,81.25,0
retinanet,MODE_10W_4CORE,10000,5,80,2,tight,1,1.35,10382.5,81.25,0
retinanet,MODE_10W_DESKTOP,10000,5,80,2,tight,1,0.98,9768.5,81.25,0
retinanet,MODE_10W_2CORE,10000,5,80,2,tight,1,1.36,10351.75,81.25,0
retinanet,MODE_20W_6CORE,20000,2,65,1,loose,2,1.42,15354.25,81.25,0
retinanet,MODE_20W_4CORE,20000,2,65,1,loose,2,1.42,15193.13,81.25,0
retinanet,MODE_20W_2CORE,20000,2,65,1,loose,2,1.45,15441.0,81.25,0
retinanet,MODE_15W_6CORE,20000,2,65,1,loose,2,1.29,13997.75,81.25,0
retinanet,MODE_15W_4CORE,20000,2,65,1,loose,2,1.3,13790.13,81.25,0
retinanet,MODE_15W_2CORE,20000,2,65,1,loose,2,1.32,14204.88,81.25,0
retinanet,MODE_10W_4CORE,20000,2,65,1,loose,2,1.06,9711.75,81.25,0
retinanet,MODE_10W_DESKTOP,20000,2,65,1,loose,2,0.69,8680.38,81.25,0
retinanet,MODE_10W_2CORE,20000,2,65,1,loose,2,1.1,9922.13,81.25,0
retinanet,MODE_20W_6CORE,20000,2,65,2,loose,1,1.73,15851.0,81.25,0
retinanet,MODE_20W_4CORE,20000,2,65,2,loose,1,1.72,15953.5,81.25,0
retinanet,MODE_20W_2CORE,20000,2,65,2,loose,1,1.75,15871.5,81.25,0
retinanet,MODE_15W_6CORE,20000,2,65,2,loose,1,1.55,14527.25,81.25,0
retinanet,MODE_15W_4CORE,20000,2,65,2,loose,1,1.56,14307.13,81.25,0
retinanet,MODE_15W_2CORE,20000,2,65,2,loose,1,1.58,14379.0,81.25,0
retinanet,MODE_10W_4CORE,20000,2,65,2,loose,1,1.35,10382.5,81.25,0
retinanet,MODE_10W_DESKTOP,20000,2,65,2,loose,1,0.98,9768.5,81.25,0
retinanet,MODE_10W_2CORE,20000,2,65,2,loose,1,1.36,10351.75,81.25,0
